"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU_4278","Bacteria","Elusimicrobia","Elusimicrobia","Elusimicrobiales","unclassified","unclassified","unclassified"
"OTU_30497","Bacteria","Elusimicrobia","Elusimicrobia","Elusimicrobiales","unclassified","unclassified","unclassified"
"OTU_21977","Bacteria","Elusimicrobia","Elusimicrobia","Elusimicrobiales","Elusimicrobiaceae","unclassified","unclassified"
"OTU_4140","Bacteria","Elusimicrobia","Elusimicrobia","Elusimicrobiales","unclassified","unclassified","unclassified"
"OTU_18994","Bacteria","Elusimicrobia","Elusimicrobia","Elusimicrobiales","unclassified","unclassified","unclassified"
"OTU_15502","Bacteria","Elusimicrobia","Elusimicrobia","Elusimicrobiales","unclassified","unclassified","unclassified"
"OTU_31794","Bacteria","Elusimicrobia","Elusimicrobia","Elusimicrobiales","unclassified","unclassified","unclassified"
"OTU_9059","Bacteria","Elusimicrobia","Elusimicrobia","Elusimicrobiales","unclassified","unclassified","unclassified"
"OTU_6612","Bacteria","Elusimicrobia","Elusimicrobia","Elusimicrobiales","unclassified","unclassified","unclassified"
"OTU_6058","Bacteria","Elusimicrobia","Elusimicrobia","Elusimicrobiales","unclassified","unclassified","unclassified"
"OTU_4728","Bacteria","Elusimicrobia","Elusimicrobia","Elusimicrobiales","unclassified","unclassified","unclassified"
"OTU_2969","Bacteria","Elusimicrobia","Elusimicrobia","Elusimicrobiales","unclassified","unclassified","unclassified"
"OTU_15916","Bacteria","Elusimicrobia","OP2","unclassified","unclassified","unclassified","unclassified"
"OTU_5853","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_6528","Bacteria","TM6","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_4374","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_18442","Bacteria","TM6","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_26413","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_17415","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_14522","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_27524","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_26952","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_25917","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_5736","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_15744","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_21616","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_37999","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_4241","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_37985","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_3345","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_2174","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_7726","Bacteria","TM6","unclassified","unclassified","unclassified","unclassified","unclassified"
"OTU_13042","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_28325","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_5396","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_5965","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_32101","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_7154","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_19601","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_4320","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_5762","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_1386","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_5030","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_15092","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_10109","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_25891","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_12864","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_6113","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_30650","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_13900","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_16202","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
"OTU_6601","Bacteria","TM6","SBRH58","unclassified","unclassified","unclassified","unclassified"
