"","OTU","Kingdom","Phylum","Class","Order","Family","Genus","Species","BBE","BBW","BRE","BRW","CBE","CBW","EUE","EUW","FRE","FRW","IJE","IJW","LOE","LOW","MAE","MAW","MME","MMW","POE","POW","RME","RMW","SCE","SCW","TXE","TXW","VIE","VIW"
"102","OTU_03742","Bacteria","Acidobacteria","Acidobacteriia",NA,NA,NA,NA,0,0,0,0,0,0,0.02,0.16,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105","OTU_04038","Bacteria","Chloroflexi","TK10",NA,NA,NA,NA,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106","OTU_04088","Bacteria","OD1","unclassified",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0
"107","OTU_04180","Bacteria","Actinobacteria","Acidimicrobiia",NA,NA,NA,NA,0.01,8.02,0,1.72,0.19,1.99,0.02,1.27,0,0.39,0,0.56,0,4.24,0.4,0.78,0.13,0.17,0.23,4.32,0.01,0.12,0.04,8.79,0.01,0.24,0.07,0.01
"108","OTU_04322","Bacteria","Acidobacteria","DA052",NA,NA,NA,NA,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110","OTU_04414","Bacteria","MVP-21","unclassified",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0
"111","OTU_04551","Bacteria","GOUTA4","unclassified",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112","OTU_04609","Bacteria","TM6","unclassified",NA,NA,NA,NA,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113","OTU_04669","Bacteria","Acidobacteria","iii1-8",NA,NA,NA,NA,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114","OTU_04698","Bacteria","Chloroflexi","Dehalococcoidetes",NA,NA,NA,NA,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115","OTU_04702","Bacteria","Chloroflexi","MVP-21",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116","OTU_04717","Bacteria","WPS-2","unclassified",NA,NA,NA,NA,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117","OTU_04912","Bacteria","GN02","GN07",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120","OTU_05059","Bacteria","OP3","BD4-9",NA,NA,NA,NA,0,0,0,0.02,0,0,0,0,0,0.01,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0.02,0,0
"122","OTU_05181","Bacteria","LCP-89","SAW1_B44",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124","OTU_05243","Bacteria","Chloroflexi","P2-11E",NA,NA,NA,NA,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
